county,region_name,region,2018,2017,2016,2015,2014,2013,2012,2011,2010
PVFO,Республика Татарстан(Татарстан),RU-TA,4.5,5.1,5.3,6,6.5,7.1,6.4,4.9,5.6
SiFO,Республика Тыва,RU-TY,9.4,8.8,6.5,7,14.9,18.0,17.1,14.0,12.4
SiFO,Республика Хакасия,RU-KK,4.3,5.1,11.3,14.6,8.5,9.3,12.8,9.2,8.6
SFO,Ростовская область,RU-ROS,5.1,6.5,6.6,6.6,7.9,9.7,9.5,7.6,7.7
CFO,Рязанская область,RU-RYA,4.8,4.5,4.5,6.2,6.3,9.0,10.6,7.4,8.4
PVFO,Самарская область,RU-SAM,4.5,4.6,5.1,5.6,6.4,7.5,7.0,6.5,6.3
PVFO,Саратовская область,RU-SAR,4.7,5.3,6.4,7,7.2,6.9,7.1,5.8,5.9
FSFO,Сахалинская область,RU-SAK,2.8,4.7,3.6,6.2,6.2,5.8,6.6,4.3,6.1
UFO,Свердловская область,RU-SVE,4.6,4.8,5.8,5.5,6.3,7.1,7.5,5.8,6.1
CFO,Смоленская область,RU-SMO,6.6,5.4,6.5,7.7,6.6,9.0,8.9,7.1,5.6
NKFO,Ставропольский край,RU-STA,6.3,8,8.4,8.1,10.5,10.1,10.7,8.5,8.5
CFO,Тамбовская область,RU-TAM,3.7,2.4,3.8,3.7,4.5,5.9,4.5,4.1,4.1
CFO,Тверская область,RU-TVE,4.7,4.5,7.3,6.6,6.5,9.6,10.4,8.2,8.1
SiFO,Томская область,RU-TOM,5.1,4.4,6.1,6.1,4.9,7.1,8.5,7.0,6.6
CFO,Тульская область,RU-TUL,4.7,6.8,6.5,6.8,6.8,7.6,6.9,5.4,7.2
UFO,Тюменская область,RU-TYU,3.7,4.7,4.6,5.7,5.6,6.8,6.8,6.2,6.2
PVFO,Удмуртская Республика,RU-UD,4.4,4.6,5.3,5.6,8.2,8.3,9.2,5.7,6.7
PVFO,Ульяновская область,RU-ULY,5.2,5.1,6.8,6.5,8.1,8.4,6.9,7.6,6.3
FSFO,Хабаровский край,RU-KHA,5,5.8,5.9,6.4,9.5,13.0,11.3,10.8,10.3
UFO,Ханты-Мансийский авт.округ-Югра,RU-KHM,2.8,4.6,4.1,4.9,4.5,5.7,4.8,5.2,4.2
UFO,Челябинская область,RU-CHE,5.4,6.2,5.9,6.5,7.0,8.8,9.2,7.5,7.8
NKFO,Чеченская Республика,RU-CE,6.6,9.2,10.2,11.7,15.5,17.1,20.5,17.5,14.8
PVFO,Чувашская Республика(Чувашия),RU-CU,3.8,3.3,3.2,3.3,4.4,4.7,5.4,3.5,5.5
FSFO,Чукотский авт.округ,RU-CHU,11.1,10.5,16.4,17.5,22.3,21.0,27.7,12.8,21.7
UFO,Ямало-Hенецкий авт.округ,RU-YAN,5.6,6.5,5.4,7.1,8.6,9.2,10.5,11.0,12.1
CFO,Ярославская область,RU-YAR,3.2,6.1,5.2,6,5.5,8.3,7.8,5.7,7.0
